brand,model,screen_size,color,harddisk,cpu,ram(GB),OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,currency_symbol,harddisk_new_GB
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
acer,Aspire,15.0,Sliver,256 GB,AMD R Series,8,Windows 10,Backlit Keyboard,,AMD Radeon Vega 3,,4.4,449.0,$,256.0
lenovo,ThinkPad X1 Yoga Gen 7,14.0,,512 GB,Core i7,16,Windows 11,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,,,2466.99,$,512.0
alienware,m15 R3,15.0,Black,512 GB,Core i7,16,Windows 10,Backlit Keyboard,Dedicated,,,3.8,1329.95,$,512.0
dell,Latitude 5540 Laptop,15.0,Black,1000 GB,Core i7,32,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1550.64,$,1000.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
lenovo,ThinkPad T470,14.0,Black,256 GB,Core i5 Family,8,Windows 10 Pro,Spill-resistant,Integrated,,,5.0,295.97,$,256.0
hp,ELITEBOOK REVOLVE 810G3,11.0,Silver,128 GB,Core i5,8,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,Integrated,Integrated Graphics,,,229.98,$,128.0
dell,Precision 3470 Laptop,14.0,Black,1000 GB,Core i7,32,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,5.0,1507.16,$,1000.0
dell,Dell XPS 17 9710,17.0,Platinum Silver,4000 GB,Core i7,64,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050,,5.0,2470.99,$,4000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
hp,Spectre x360 15t 9th OLED Pro McAfee,15.0,Poseidon Blue,1 TB,Core i7,16,Windows 10 Pro,Stylus Pen,Dedicated,,,4.1,2199.0,$,1024.0
dell,Dell XPS 13 9305,13.0,Silver,512 GB,Intel Core i7,16,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,,1047.29,$,512.0
dell,Precision M3510,15.0,,1000 GB,Core i7 6700HQ,16,Windows 10 Pro,,Dedicated,Intel HD Graphics 530,2.6 GHz,,949.95,$,1000.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
dell,Alienware X14 Laptop,14.0,Lunar Light,1000 GB,Core i7,32,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,,2293.99,$,1000.0
msi,WF76 11UI-400,17.0,Black,512 GB,Core i7 Family,16,Windows 10 Pro,Fingerprint,Dedicated,,,5.0,1799.0,$,512.0
dell,XPS 9315 2-in-1,13.0,Platinum Silver,512 GB,Core i5,16,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1295.53,$,512.0
dell,Precision 7750,17.0,Silver,1 TB,Core i7,32,Windows 10 Pro,Anti-glare,Integrated,,,3.6,1778.99,$,1024.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
dell,Inspiron 5625 Laptop,16.0,"Gray, Platinum Silver",1000 GB,AMD Ryzen 7,16,Windows 11 Home,,Integrated,AMD Integrated Graphics,,,913.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
dell,Latitude 6330,13.0,Metallic gray,500 GB,Core i5,,Windows 7 Professional,Anti-glare,,Intel HD Graphics 4000,,3.5,289.95,$,500.0
asus,VivoBook S15,15.0,Gaia Green,512 GB,Intel Core i5-1135G7,8,Windows 11,"Fingerprint Reader, HD Audio, Backlit Keyboard, Memory Card Slot, Anti Glare Coating",,Intel Iris Xe Graphics,,3.0,723.16,$,512.0
dell,Latitude 7000,14.0,Carbon Fiber,512 GB,Core i5,16,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,,,,1680.46,$,512.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
dell,G16 7620 Laptop,16.0,Black,1000 GB,Core i7,16,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3060,,,1689.0,$,1000.0
dell,Latitude,15.0,Silver,1 TB,Core i5 Family,64,Windows 11 Pro,Backlit Keyboard,Integrated,,,4.0,1085.99,$,1024.0
latitude,Latitude,13.0,Silver,128 GB,Core i5-2520M,8,Windows 7 Professional,,Integrated,Intel HD Graphics 3000,,3.5,289.95,$,128.0
dell,Latitude,14.0,Gray,512 GB,Core i7 Family,32,Windows 11 Pro,,Integrated,UHD Graphics,,2.3,1295.03,$,512.0
asus,ASUS Laptop L410,14.0,Star Black,128 GB,Pentium,4,Windows 10 S,,Integrated,Intel UHD Graphics 605,,4.1,319.99,$,128.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
dell,XPS,15.0,Silver,4 TB,Core i9,4,Windows 11,Backlit Kb,Dedicated,,,2.0,3271.99,$,4096.0
dell,3540,15.0,Black,256 GB,Core i5 Family,8,Windows 10 Pro,,Dedicated,,,4.5,1099.81,$,256.0
msi,CreatorPro X17 A12UKS-060,17.0,Black,1 TB,Core i7,32,Windows 11,,Dedicated,NVIDIA GeForce GTX 1050,,,3449.0,$,1024.0
dell,Latitude 5420 rugged,14.0,Black,128 GB,Core i5,16,Windows 10,,Integrated,,1.7 GHz,,1099.95,$,128.0
msi,Prestige 15 A11SC-048,15.0,Carbon Gray,512 GB,Core i5 Family,16,Windows 10 Pro,Thin Bezel,Dedicated,,,,1349.0,$,512.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
dell,Inspiron 7610 Laptop,16.0,Blue,2000 GB,Core i7,32,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1091.99,$,2000.0
dell,Vostro 7620 Laptop,16.0,Black,1000 GB,Core i7,16,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,1.0,1166.97,$,1000.0
dell,G15,15.0,Phantom Grey with speckles,1 TB,AMD R Series,32,Windows 10 Home,Backlit Keyboard,Dedicated,,,4.1,1429.99,$,1024.0
lenovo,Lenovo 15.6,15.0,Blue,256 GB,AMD A Series,8,Windows 10,,Dedicated,AMD Radeon 7 Graphics,,4.1,499.0,$,256.0
lenovo,ThinkPad L480,14.0,Black,256 GB,Core i5 8250U,8,Windows 10 Pro,,Integrated,Intel UHD Graphics 620,,4.0,699.99,$,256.0
dell,XPS9300-7909SLV-PUS,13.0,Silver,512 GB,Core i7-1065G7,16,Windows 10 Pro,,Integrated,,1.3 GHz,4.1,1899.0,$,512.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
acer,Chromebook Enterprise Spin 514 CP514-3WH,14.0,,256 GB,Ryzen 7,16,Chrome OS,Corning Gorilla Glass,Radeon Graphics,AMD Radeon Graphics,,5.0,999.99,$,256.0
hp,Pavilion,15.0,,256 GB,Pentium,8,Windows 11,Numeric Keypad,Integrated,Intel UHD Graphics 600,,4.4,439.0,$,256.0
dell,Precision 3000,15.0,Titan Gray,256 GB,Core i5,16,Windows 10 Pro,Anti-glare Screen,RTX T600,,,,1094.13,$,256.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
dell,Precision 3000,15.0,Titan Gray,256 GB,Core i5,16,Windows 10 Pro,Anti-glare Screen,RTX T600,,,,1653.74,$,256.0
dell,Precision 7770 Laptop,17.0,Silver,1000 GB,Core i7,32,Windows 11 Pro,,Dedicated,NVIDIA RTX A3000,,,1688.99,$,1000.0
acer,Acer Chromebook,11.0,pure silver,64 GB,Celeron N4000,4,Chrome OS,,Integrated,Intel UHD Graphics 600,,5.0,246.39,$,64.0
asus,ZenBook Flip 13,13.0,Pine Grey,512 GB,Intel Core i7,16,Windows 10 Pro,Nanoedge Bezel,Integrated,,,4.0,769.99,$,512.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
dell,Precision 3000,14.0,,256 GB,Core i5,16,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,671.84,$,256.0
dell,Latitude 5420,14.0,,512 GB,Core i5,16,Windows 10 Pro,Anti Glare,Integrated,,2.6 GHz,1.0,610.68,$,512.0
acer,PH315-53-71QX,15.0,,512 GB,Intel Core i7,16,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 2070,5 GHz,4.4,2299.0,$,512.0
dell,Inspiron,14.0,Silver,1 TB,Core i7 Family,64,Windows 11 Home,Backlit Kb,Integrated,,,4.0,947.06,$,1024.0
lenovo,AMD Athlon,14.0,Gray,128 GB,AMD R Series,4,Windows 11 Home,,Integrated,AMD Radeon Graphics,,4.6,248.0,$,128.0
hp,ELITEBOOK REVOLVE 810G3,11.0,Silver,512 GB,Core i5,8,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,Integrated,Integrated Graphics,,,249.98,$,512.0
dell,Dell XPS,15.0,Silver,1 TB,,32,Windows 10,"Backlit Keyboard,Fingerprint Reader",Dedicated,NVIDIA GeForce GTX 1050 Ti,,3.5,1900.0,$,1024.0
hp,360W3UT#ABA,14.0,Silver,256 GB,Core i7,16,Windows 10 Pro,,Integrated,Intel Iris,,,989.99,$,256.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
lenovo,,14.0,,512 GB,,16,Windows 10,"Backlit Keyboard,Fingerprint Reader",Integrated,,,4.5,689.99,$,512.0
alienware,AWm15-7806SLV-PUS,15.0,Epic Silver,512 GB,Core i7 Family,16,Windows 10 Home,"Anti Glare,Thin Bezel",Dedicated,,,4.3,1699.95,$,512.0
dell,G15,15.0,Phantom Grey with speckles,512 GB,AMD R Series,16,Windows 10 Home,Backlit Keyboard,Dedicated,,,,1332.99,$,512.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
lenovo,,14.0,,512 GB,Intel Core i5,16,Windows 10 Pro,Speakers,Integrated,Intel Integrated Graphics,2.6 GHz,3.6,311.6,$,512.0
dell,Latitude 5330 2-in-1,13.0,Black,256 GB,Core i5,16,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,750.74,$,256.0
dell,Dell XPS 15 9520,15.0,Silver,512 GB,Core i7,32,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,2389.99,$,512.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
lenovo,IdeaPad 330,15.0,Silver,500 GB,Celeron N,4,Windows 10,"Anti-glare,Stereo Speakers",Integrated,,,3.7,248.88,$,500.0
dell,Precision 7550,15.0,Gray,512 GB,Corei7-10750H,16,Windows 10 Pro,Anti-glare,Dedicated,,,3.1,1699.95,$,512.0
dell,G3 Gaming,15.0,Black,512 GB,Core i5,8,Windows 10,,Dedicated,NVIDIA GeForce GTX 1660Ti,,3.8,989.0,$,512.0
toughbook,cf-31 hzardour locations,13.0,,500 GB,Core i5-655K,16,Windows 10 Home,,Integrated,Intel HD Graphics,2.3 GHz,5.0,595.97,$,500.0
dell,Precision 7750 Laptop,17.0,Silver,256 GB,Core i7,16,Windows 10 Pro,Wifi & Bluetooth,Nvidia Quadro RTX 3000,,,,1799.95,$,256.0
dell,LATITUDE 3450,14.0,Black,256 GB,Core i5,8,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,,254.98,$,256.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
dell,Latitude 5510 Laptop,15.0,Black,512 GB,Core i7,32,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1603.27,$,512.0
dell,Precision 5760 Laptop,17.0,Silver,1000 GB,Core i7,64,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A2000,,,,2560.59,$,1000.0
dell,Latitude 7320 Detachable 2-in-1,13.0,Black,256 GB,Core i5,8,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,750.74,$,256.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
dell,Latitude Rugged 5430 Laptop,14.0,Silver,512 GB,Core i7,16,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1646.99,$,512.0
dell,G15 5525 Laptop,15.0,Grey,1000 GB,AMD Ryzen 7,16,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,5.0,1488.13,$,1000.0
dell,7400,14.0,,256 GB,Core i7 Family,16,Windows 10 Pro,premium business-class notebook,Integrated,Intel UHD Graphics 620,,3.4,1549.0,$,256.0
hp,,16.0,,1 TB,Core i7,32,Windows 11 Pro,,Integrated,Intel HD Graphics 520,,4.0,2592.06,$,1024.0
dell,Latitude 7320 Detachable 2-in-1,13.0,Black,128 GB,Core i5,8,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,4.6,750.74,$,128.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
hp,HP Envy,15.0,,512 GB,AMD Ryzen 7,16,Windows 11 Home,"Backlit Keyboard,Stylus Pen",Integrated,AMD Radeon Graphics,,4.1,999.99,$,512.0
dell,Latitude,14.0,Gray,512 GB,Intel Core i5 1145G7,16,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,,801.99,$,512.0
dell,Inspiron,15.0,Black,500 GB,Core i3,4,Windows 8.1,,Integrated,Intel HD Graphics 4400,,4.1,259.0,$,500.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
dell,LATITUDE 3450,14.0,Black,256 GB,Core i5,16,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,,276.98,$,256.0
dell,Latitude,14.0,,256 GB,Core i5,16,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,2.4 GHz,,836.99,$,256.0
dell,LATITUDE E6530,15.0,,256 GB,Core i5-3320M,16,Win 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,2.6 GHz,,269.98,$,256.0
lenovo,,14.0,,128 GB,,8,Windows 10 Home,,Integrated,Intel,2.6 GHz,5.0,315.0,$,128.0
dell,Latitude 5540 Laptop,15.0,Black,1000 GB,Core i7,32,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1641.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
dell,Vostro 7620 Laptop,16.0,Black,2000 GB,Core i7,,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 3050 Ti,3.5 GHz,,1359.21,$,2000.0
lenovo,Lenovo Thinkpad,12.0,Black,256 GB,Core i7 4600U,8,Windows 8,Pen,Integrated,,,3.1,469.99,$,256.0
asus,VivoBook S15 S532,15.0,Punk Pink,512 GB,Intel Core i5,8,Windows 10 Home,Nanoedge Bezel,Integrated,,,4.4,1199.0,$,512.0
dell,Latitude 5320 Laptop,13.0,Black,1000 GB,Core i7,16,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,890.99,$,1000.0
apple,MacBook Pro 13-inch,13.0,Space Gray,128 GB,Core i5,8,Mac OS,,Integrated,integrated_graphics,,4.5,689.95,$,128.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
dell,XPS 9510 Laptop,15.0,Platinum Silver,512 GB,Core i7,16,Windows 10 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3050 Ti,,,,2604.98,$,512.0
asus,ROG Strix Scar III G531GV,15.0,,1 TB,Intel Core i7,16,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 2060,4.5 GHz,4.4,2799.0,$,1024.0
hp,Laptop,17.0,,256 GB,Core i5,8,Windows 11,Anti-glare,Integrated,Intel Iris Xe Graphics,,4.9,589.0,$,256.0
dell,G15 5520 Laptop,15.0,Grey,512 GB,Core i7,16,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,1094.99,$,512.0
dell,XPS,15.0,Platinum Silver,1 TB,Intel Core i9,32,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,2193.98,$,1024.0
msi,Modern 14 B11MOU-1212,14.0,Gray,128 GB,Core i3,8,Windows 11 Home,Information Not Available,Integrated,,,5.0,535.88,$,128.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
lenovo,,15.0,Grey,512 GB,AMD R Series,20,Windows 10,Anti-glare,Integrated,AMD Radeon RX Vega 8,,4.3,585.69,$,512.0
dell,Precision 3000,14.0,,512 GB,Core i7,32,Windows 10 Pro,Anti-glare Screen,T550,NVIDIA T550,,,2220.88,$,512.0
dell,Inspiron 3511,15.0,,1 TB,Core i5,16,Windows 10 Pro,,Integrated,Intel UHD Graphics,1 GHz,,656.85,$,1024.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
dell,Alienware m18 Laptop,18.0,Black,1000 GB,Core i9,64,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 4080,,,2919.58,$,1000.0
dell,Inspiron,14.0,,512 GB,Core i7,16,Windows 11 Home,Fingerprint,Integrated,,,,861.48,$,512.0
dell,G16 7620 Laptop,16.0,Black,512 GB,Core i7,16,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3050 Ti,,,1183.99,$,512.0
hp,,15.0,Silver,1000 GB,Intel Core i5,64,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,999.99,$,1000.0
rokc,Ideapad 3,15.0,Gray,1000 GB,Intel Core i5,20,Windows 11,,Integrated,Intel,,,639.99,$,1000.0
dell,Inspiron,16.0,Silver,1000 GB,Intel Core i5,32,Windows 11,,Integrated,Intel,,,899.99,$,1000.0
rokc,,14.0,Blue,1000 GB,Intel Core i7,8,Windows 11,,Integrated,Intel,1.2 GHz,,589.99,$,1000.0
lenovo,,11.0,,32 GB,AMD A4,4,Chrome OS,HD Audio,Integrated,AMD Radeon R5,9120 GHz,,199.99,$,32.0
dell,Dell Precision 7750 Laptop,17.0,Black,1 TB,Intel Core i7,32,Windows 10 Pro,,Dedicated,NVIDIA RTX 3000 6GB GDDR6,,,2905.39,$,1024.0
dell,Latitude 3000,11.0,,128 GB,Unknown,4,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,,525.83,$,128.0
asus,UX363JA-XB71T,13.0,Grey,512 GB,Intel Core i5,1,Windows 10 Pro,"Anti-glare,Nanoedge Bezel",Integrated,,,3.5,1499.0,$,512.0
rokc,,15.0,Blue,1152 GB,Pentium,20,Windows 11,,Integrated,Intel,1.1 GHz,5.0,389.99,$,1152.0
hp,,14.0,Rose Gold,64 GB,Celeron N4000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.7,389.99,$,64.0
hp,,15.0,Black,1000 GB,Pentium N5000,16,Windows 11,,Integrated,Intel,1.1 GHz,4.4,459.99,$,1000.0
dell,Dell Inspiron,15.0,Platinum Silver,256 GB,Core i5,8,Windows 10 Home,Backlit Keyboard,Integrated,,,3.3,660.0,$,256.0
apple,MacBook Pro,14.0,Space Gray,1 TB,Apple M1,32,Mac OS,,Integrated,,3.2 GHz,4.5,2611.35,$,1024.0
dell,XPS 13 9380,13.0,Silver,128 GB,Core i5 Family,8,Windows 10 Home,,Integrated,Intel UHD Graphics 620,,3.7,1179.81,$,128.0
dell,XPS 9520 Laptop,15.0,Platinum Silver,1000 GB,Core i7,64,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050,,5.0,1788.99,$,1000.0
dell,Alienware X17 R2 Laptop,17.0,Lunar Light,2000 GB,Core i9,32,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,,2923.99,$,2000.0
acer,Acer Swift X Laptop,14.0,Safari Gold,1 TB,AMD R Series,16,Windows 10,Fingerprint,Dedicated,,,4.5,999.0,$,1024.0
dell,Dell Latitude 5520 Laptop,15.0,Silver,512 GB,Core i7,16,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5.0,1715.99,$,512.0
